window_start,Site,Ion,Concentration
1995-08-01,PRM,nh4_ugl,NA
1995-10-03,PRM,k_mgl,NA
1995-10-03,PRM,no3_ugl,NA
1995-10-03,PRM,mg_mgl,NA
1995-10-03,PRM,ca_mgl,NA
1995-10-03,PRM,nh4_ugl,NA
1995-12-05,PRM,k_mgl,0.67
1995-12-05,PRM,no3_ugl,NA
1995-12-05,PRM,mg_mgl,1.7200000000000002
1995-12-05,PRM,ca_mgl,7.365
1995-12-05,PRM,nh4_ugl,NA
1986-05-20,BQ1,k_mgl,0.8166666666666667
1986-05-20,BQ1,no3_ugl,113.66666666666667
1986-05-20,BQ1,mg_mgl,3.1066666666666665
1986-05-20,BQ1,ca_mgl,3.9366666666666665
1986-05-20,BQ1,nh4_ugl,NA
1986-07-22,BQ1,k_mgl,NA
1986-07-22,BQ1,no3_ugl,NA
1986-07-22,BQ1,mg_mgl,NA
1986-07-22,BQ1,ca_mgl,NA
1986-07-22,BQ1,nh4_ugl,NA
1986-09-23,BQ1,k_mgl,0.656
1986-09-23,BQ1,no3_ugl,126.66666666666667
1986-09-23,BQ1,mg_mgl,2.69
1986-09-23,BQ1,ca_mgl,4.368
1986-09-23,BQ1,nh4_ugl,25.4
1986-11-25,BQ1,k_mgl,0.6744444444444444
1986-11-25,BQ1,no3_ugl,154.33333333333334
1986-11-25,BQ1,mg_mgl,2.5877777777777777
1986-11-25,BQ1,ca_mgl,3.78
1986-11-25,BQ1,nh4_ugl,21.75
1987-01-27,BQ1,k_mgl,0.7244444444444444
1987-01-27,BQ1,no3_ugl,132.22222222222223
1987-01-27,BQ1,mg_mgl,2.977777777777778
1987-01-27,BQ1,ca_mgl,4.166666666666667
1987-01-27,BQ1,nh4_ugl,18.4
1987-03-31,BQ1,k_mgl,0.8466666666666667
1987-03-31,BQ1,no3_ugl,146.44444444444446
1987-03-31,BQ1,mg_mgl,2.4299999999999997
1987-03-31,BQ1,ca_mgl,3.7566666666666664
1987-03-31,BQ1,nh4_ugl,41.666666666666664
1987-06-02,BQ1,k_mgl,0.8077777777777778
1987-06-02,BQ1,no3_ugl,157.66666666666666
1987-06-02,BQ1,mg_mgl,2.522222222222222
1987-06-02,BQ1,ca_mgl,3.893333333333333
1987-06-02,BQ1,nh4_ugl,73.77777777777777
1987-08-04,BQ1,k_mgl,0.77
1987-08-04,BQ1,no3_ugl,182.30769230769232
1987-08-04,BQ1,mg_mgl,2.171666666666667
1987-08-04,BQ1,ca_mgl,3.3666666666666667
1987-08-04,BQ1,nh4_ugl,44.53846153846154
1987-10-06,BQ1,k_mgl,0.737
1987-10-06,BQ1,no3_ugl,163.77777777777777
1987-10-06,BQ1,mg_mgl,2.349
1987-10-06,BQ1,ca_mgl,3.726
1987-10-06,BQ1,nh4_ugl,16.25
1987-12-08,BQ1,k_mgl,0.7873333333333333
1987-12-08,BQ1,no3_ugl,162.33333333333334
1987-12-08,BQ1,mg_mgl,2.0086666666666666
1987-12-08,BQ1,ca_mgl,3.2173333333333334
1987-12-08,BQ1,nh4_ugl,24
1988-02-09,BQ1,k_mgl,0.90125
1988-02-09,BQ1,no3_ugl,206.9375
1988-02-09,BQ1,mg_mgl,1.99375
1988-02-09,BQ1,ca_mgl,3.10375
1988-02-09,BQ1,nh4_ugl,20.6875
1988-04-12,BQ1,k_mgl,0.8766666666666667
1988-04-12,BQ1,no3_ugl,151.7
1988-04-12,BQ1,mg_mgl,2.251
1988-04-12,BQ1,ca_mgl,3.19
